Ciechocinek;52STP53MIN;18STP47MIN
Cieszanów;50STP14MIN49SEC;23STP07MIN45SEC
Cieszyn;49STP45MIN;18STP38MIN
Ciężkowice;49STP48MIN;20STP58MIN
Cybinka;52STP12MIN;14STP48MIN
Czaplinek;53STP33MIN;16STP14MIN
Czarne;53STP41MIN;16STP57MIN
Czarnków;52STP54MIN16SEC;16STP33MIN51SEC
Czchów;49STP51MIN;20STP41MIN
Czechowice-Dziedzice;49STP54MIN40SEC;19STP00MIN27SEC
Czeladź;50STP19MIN02SEC;19STP04MIN13SEC
Czempiń;52STP09MIN;16STP46MIN
Czerniejewo;52STP26MIN;17STP29MIN
Czersk;53STP47MIN34SEC;17STP58MIN26SEC
Czerwieńsk;52STP00MIN56SEC;15STP24MIN18SEC
Czerwionka-Leszczyny;50STP08MIN56SEC;18STP40MIN38SEC
Częstochowa;50STP48MIN;19STP07MIN
Człopa;53STP05MIN19SEC;16STP07MIN15SEC
Człuchów;53STP39MIN;17STP22MIN
Ćmielów;50STP53MIN25SEC;21STP30MIN53SEC
Darłowo;54STP25MIN15SEC;16STP24MIN38SEC
Dąbie;52STP05MIN27SEC;18STP49MIN21SEC
Debrzno;53STP32MIN;17STP14MIN
Dębica;50STP03MIN05SEC;21STP24MIN42SEC
Dęblin;51STP34MIN00SEC;21STP51MIN41SEC
Dębno;52STP44MIN20SEC;14STP41MIN52SEC
Dobczyce;49STP54MIN;20STP06MIN
Dobiegniew;52STP58MIN;15STP45MIN
Dobrodzień;50STP43MIN40SEC;18STP26MIN40SEC
Dobrzany;53STP21MIN31SEC;15STP25MIN34SEC
Dolsk;51STP58MIN55SEC;17STP03MIN59SEC
Drawno;53STP13MIN;15STP45MIN
Drezdenko;52STP50MIN;15STP50MIN
Drobin;52STP44MIN27SEC;19STP59MIN21SEC
Dukla;49STP33MIN;21STP41MIN
Dynów;49STP49MIN;22STP14MIN
Działdowo;53STP14MIN;20STP11MIN
Działoszyce;50STP22MIN;20STP21MIN
Działoszyn;51STP07MIN04SEC;18STP52MIN12SEC
Dzierzgoń;53STP55MIN24SEC;19STP21MIN05SEC
Dzierżoniów;50STP43MIN41SEC;16STP39MIN04SEC
Elbląg;54STP09MIN30SEC;19STP24MIN10SEC
Ełk;53STP49MIN17SEC;22STP21MIN44SEC
Frampol;50STP41MIN;22STP40MIN
Frombork;54STP21MIN;19STP41MIN
Garwolin;51STP54MIN;21STP38MIN
Gąbin;52STP24MIN;19STP44MIN
Gdańsk;54STP22MIN;18STP38MIN
Gdynia;54STP30MIN;18STP32MIN
Giżycko;54STP02MIN24SEC;21STP45MIN32SEC
Glinojeck;52STP49MIN;20STP17MIN
Gliwice;50STP17MIN;18STP40MIN
Głogów;51STP39MIN33SEC;16STP04MIN50SEC
Głogówek;50STP20MIN38SEC;17STP52MIN02SEC
Głowno;51STP57MIN51SEC;19STP42MIN42SEC
Głubczyce;50STP12MIN00SEC;17STP50MIN03SEC
Głuchołazy;50STP18MIN47SEC;17STP22MIN27SEC
Głuszyca;50STP41MIN;16STP22MIN
Gniewkowo;52STP54MIN;18STP25MIN
Gniezno;52STP32MIN;17STP36MIN
Gogolin;50STP29MIN17SEC;18STP01MIN26SEC
Golczewo;53STP49MIN34SEC;14STP58MIN55SEC
Goleniów;53STP33MIN55SEC;14STP49MIN50SEC
Golina;52STP15MIN;18STP06MIN
Golub-Dobrzyń;53STP07MIN;19STP03MIN
Gołańcz;52STP57MIN;17STP18MIN
Gołdap;54STP18MIN58SEC;22STP18MIN34SEC
Goniądz;53STP29MIN21SEC;22STP44MIN16SEC
Gorlice;49STP39MIN;21STP10MIN
Gostynin;52STP25MIN;19STP28MIN
Gostyń;51STP52MIN45SEC;17STP00MIN45SEC
Gozdnica;51STP26MIN20SEC;15STP05MIN44SEC
Górzno;53STP11MIN47SEC;19STP38MIN41SEC
Grajewo;53STP39MIN;22STP27MIN
Grodków;50STP41MIN;17STP22MIN
Grójec;51STP51MIN56SEC;20STP52MIN03SEC
Grudziądz;53STP29MIN33SEC;18STP46MIN34SEC
Grybów;49STP37MIN28SEC;20STP56MIN54SEC
Gryfice;53STP54MIN59SEC;15STP11MIN59SEC
Gryfino;53STP15MIN11SEC;14STP29MIN15SEC
Gubin;51STP57MIN;14STP43MIN
Hajnówka;52STP44MIN;23STP34MIN
Hrubieszów;50STP49MIN;23STP53MIN
Iława;53STP35MIN47SEC;19STP33MIN56SEC
Iłowa;51STP30MIN07SEC;15STP12MIN21SEC
Iłża;51STP10MIN;21STP15MIN
Imielin;50STP08MIN43SEC;19STP11MIN09SEC
Inowrocław;52STP47MIN35SEC;18STP15MIN40SEC
Ińsko;53STP26MIN09SEC;15STP33MIN01SEC
Janikowo;52STP45MIN;18STP06MIN
Jarocin;51STP58MIN;17STP30MIN
Jarosław;50STP01MIN07SEC;22STP40MIN47SEC
Jasło;49STP44MIN52SEC;21STP28MIN17SEC
Jastarnia;54STP41MIN58SEC;18STP40MIN36SEC
Jastrowie;53STP25MIN18SEC;16STP48MIN56SEC
Jaworzno;50STP08MIN;19STP16MIN
Jedlicze;49STP42MIN59SEC;21STP38MIN44SEC
Jedwabne;53STP17MIN;22STP18MIN
Jelcz-Laskowice;51STP02MIN;17STP20MIN
Jeziorany;53STP58MIN43SEC;20STP44MIN47SEC
Jędrzejów;50STP38MIN;20STP18MIN
Jordanów;49STP40MIN;19STP50MIN
Jutrosin;51STP38MIN50SEC;17STP10MIN10SEC
Kalety;50STP33MIN54SEC;18STP52MIN57SEC
Kalisz;51STP45MIN27SEC;18STP04MIN48SEC
Kałuszyn;52STP12MIN30SEC;21STP48MIN42SEC
Kamieńsk;51STP12MIN;19STP30MIN
Kańczuga;50STP00MIN;22STP24MIN
Karczew;52STP05MIN;21STP15MIN
Kargowa;52STP04MIN;15STP52MIN
Karlino;54STP02MIN00SEC;15STP52MIN26SEC
Karpacz;50STP46MIN42SEC;15STP45MIN26SEC
Kartuzy;54STP20MIN;18STP12MIN
Katowice;50STP15MIN;19STP00MIN
Kcynia;52STP59MIN31SEC;17STP29MIN04SEC
Kędzierzyn-Koźle;50STP21MIN;18STP12MIN
Kępice;54STP14MIN28SEC;16STP53MIN23SEC
Kępno;51STP17MIN;17STP59MIN
Kętrzyn;54STP05MIN;21STP23MIN
Kęty;49STP54MIN;19STP13MIN
Kielce;50STP53MIN;20STP37MIN
Kietrz;50STP04MIN45SEC;18STP00MIN32SEC
Kisielice;53STP36MIN25SEC;19STP15MIN34SEC
Kleczew;52STP22MIN16SEC;18STP10MIN35SEC
Kleszczele;52STP34MIN36SEC;23STP19MIN17SEC
Kluczbork;50STP59MIN;18STP13MIN
Kłecko;52STP38MIN;17STP26MIN
Kłobuck;50STP54MIN18SEC;18STP56MIN16SEC
Kłodawa;52STP15MIN02SEC;18STP54MIN56SEC
Kłodzko;50STP26MIN16SEC;16STP39MIN10SEC
Knurów;50STP13MIN18SEC;18STP40MIN14SEC
Knyszyn;53STP18MIN47SEC;22STP55MIN03SEC
Kobylin;51STP42MIN;17STP14MIN
Kobyłka;52STP20MIN;21STP12MIN
Kock;51STP39MIN;22STP27MIN
Kolbuszowa;50STP15MIN;21STP46MIN
Kolno;53STP24MIN38SEC;21STP56MIN02SEC
Kolonowskie;50STP39MIN11SEC;18STP23MIN20SEC
Koluszki;51STP45MIN;19STP48MIN
Kołobrzeg;54STP10MIN40SEC;15STP34MIN37SEC
Koniecpol;50STP46MIN27SEC;19STP41MIN20SEC
Konin;52STP13MIN;18STP16MIN
Konstancin-Jeziorna;52STP05MIN;21STP07MIN
Końskie;51STP12MIN;20STP25MIN
Korfantów;50STP30MIN;17STP36MIN
Koronowo;53STP19MIN;17STP56MIN
Korsze;54STP10MIN17SEC;21STP08MIN28SEC
Kostrzyn;52STP23MIN40SEC;17STP13MIN19SEC
Kostrzyn;52STP23MIN40SEC;17STP13MIN19SEC
Koszalin;54STP11MIN25SEC;16STP10MIN54SEC
Kościan;52STP05MIN;16STP39MIN
Kościerzyna;54STP07MIN;17STP59MIN
Kowary;50STP47MIN30SEC;15STP50MIN00SEC
Kozienice;51STP35MIN;21STP34MIN
Kożuchów;51STP44MIN43SEC;15STP35MIN40SEC
Kórnik;52STP14MIN12SEC;17STP05MIN55SEC
Krajenka;53STP18MIN;16STP59MIN
Kraków;50STP03MIN41SEC;19STP56MIN18SEC
Krapkowice;50STP28MIN;17STP58MIN
Krasnobród;50STP32MIN41SEC;23STP12MIN55SEC
Krasnystaw;50STP59MIN02SEC;23STP10MIN11SEC
Kraśnik;50STP55MIN;22STP13MIN
Krobia;51STP47MIN;16STP59MIN
Krosno;49STP40MIN56SEC;21STP45MIN57SEC
Krośniewice;52STP15MIN13SEC;19STP10MIN12SEC
Krotoszyn;51STP41MIN44SEC;17STP26MIN13SEC
Kruszwica;52STP40MIN38SEC;18STP19MIN45SEC
Krzepice;50STP58MIN02SEC;18STP43MIN55SEC
Krzeszowice;50STP08MIN;19STP38MIN
Krzywiń;51STP58MIN;16STP49MIN
Kunów;50STP57MIN31SEC;21STP16MIN59SEC
Kutno;52STP14MIN;19STP22MIN
Kwidzyn;53STP44MIN09SEC;18STP55MIN51SEC
Legionowo;52STP23MIN;20STP53MIN
Legnica;51STP13MIN;16STP10MIN
Lesko;49STP28MIN28SEC;22STP19MIN44SEC
Leszno;51STP51MIN;16STP34MIN
Leśna;51STP01MIN25SEC;15STP16MIN00SEC
Leśnica;50STP25MIN45SEC;18STP10MIN52SEC
Leżajsk;50STP16MIN;22STP26MIN
Lębork;54STP32MIN30SEC;17STP45MIN00SEC
Lędziny;50STP08MIN33SEC;19STP07MIN51SEC
Libiąż;50STP06MIN;19STP19MIN
Lidzbark;53STP15MIN37SEC;19STP49MIN16SEC
Limanowa;49STP42MIN06SEC;20STP25MIN32SEC
Lipiany;53STP00MIN11SEC;14STP58MIN10SEC
Lipno;52STP51MIN;19STP10MIN
Lipsk;51STP20MIN;12STP23MIN
Lipsko;51STP09MIN24SEC;21STP39MIN27SEC
Lubaczów;50STP10MIN;23STP07MIN
Lubartów;51STP28MIN;22STP36MIN
Lubawa;53STP30MIN18SEC;19STP45MIN06SEC
Lubawka;50STP42MIN12SEC;16STP00MIN07SEC
Lubin;51STP24MIN;16STP12MIN
Lublin;51STP14MIN53SEC;22STP34MIN13SEC
Lubliniec;50STP41MIN;18STP41MIN
Lubniewice;52STP30MIN59SEC;15STP14MIN59SEC
Lubomierz;51STP01MIN;15STP31MIN
Luboń;52STP20MIN;16STP53MIN
Lubraniec;52STP32MIN31SEC;18STP50MIN08SEC
Lubsko;51STP47MIN;14STP58MIN
Lwówek;52STP27MIN;16STP11MIN
Łabiszyn;52STP57MIN11SEC;17STP54MIN52SEC
Łańcut;50STP04MIN;22STP14MIN
Łapy;52STP59MIN;22STP53MIN
Łasin;53STP31MIN03SEC;19STP05MIN01SEC
Łask;51STP35MIN23SEC;19STP07MIN57SEC
Łaskarzew;51STP47MIN24SEC;21STP35MIN33SEC
Łazy;50STP25MIN37SEC;19STP23MIN41SEC
Łeba;54STP47MIN;17STP33MIN
Łęczna;51STP18MIN;22STP53MIN
Łęczyca;52STP03MIN;19STP12MIN
Łęknica;51STP32MIN18SEC;14STP44MIN21SEC
Łobez;53STP38MIN;15STP37MIN
Łobżenica;53STP16MIN;17STP15MIN
Łochów;52STP31MIN54SEC;21STP42MIN38SEC
Łomianki;52STP20MIN;20STP53MIN
Łomża;53STP10MIN;22STP05MIN
Łosice;52STP13MIN;22STP43MIN
Łowicz;52STP06MIN;19STP56MIN
Łódź;51STP47MIN;19STP28MIN
Łuków;51STP55MIN38SEC;22STP23MIN00SEC
Malbork;54STP02MIN;19STP02MIN
Małogoszcz;50STP48MIN48SEC;20STP16MIN06SEC
Małomice;51STP33MIN26SEC;15STP26MIN58SEC
Margonin;52STP58MIN15SEC;17STP05MIN40SEC
Marki;52STP20MIN;21STP06MIN
Maszewo;53STP29MIN;15STP04MIN
Miastko;54STP01MIN;16STP59MIN
Miechów;50STP21MIN28SEC;20STP01MIN57SEC
Mielec;50STP17MIN;21STP26MIN
Mieroszów;50STP40MIN01SEC;16STP11MIN23SEC
Mieszkowice;52STP47MIN;14STP29MIN
Międzybórz;51STP23MIN57SEC;17STP39MIN56SEC
Międzychód;52STP36MIN03SEC;15STP53MIN23SEC
Międzylesie;50STP08MIN58SEC;16STP39MIN59SEC
Międzylesie;50STP08MIN58SEC;16STP39MIN59SEC
Międzyrzecz;52STP26MIN54SEC;15STP35MIN18SEC
Międzyzdroje;53STP55MIN44SEC;14STP27MIN05SEC
Mikołajki;53STP48MIN;21STP35MIN
Mikołów;50STP10MIN;18STP54MIN
Mikstat;51STP32MIN;17STP58MIN
Milanówek;52STP07MIN27SEC;20STP39MIN55SEC
Milicz;51STP32MIN;17STP17MIN
Miłakowo;54STP00MIN37SEC;20STP04MIN20SEC
Miłomłyn;53STP46MIN;19STP50MIN
Miłosław;52STP12MIN24SEC;17STP28MIN59SEC
Mirosławiec;53STP20MIN38SEC;16STP05MIN14SEC
Mirsk;50STP58MIN09SEC;15STP22MIN58SEC
Mława;53STP07MIN;20STP22MIN
Młynary;54STP11MIN14SEC;19STP43MIN45SEC
Mogielnica;51STP41MIN23SEC;20STP43MIN23SEC
Mogilno;52STP39MIN;17STP57MIN
Mońki;53STP24MIN;22STP49MIN
Morąg;53STP55MIN;19STP56MIN
Mordy;52STP12MIN29SEC;22STP30MIN43SEC
Moryń;52STP51MIN34SEC;14STP23MIN37SEC
Mosina;52STP14MIN48SEC;16STP50MIN42SEC
Mrągowo;53STP52MIN;21STP18MIN
Mrocza;53STP14MIN33SEC;17STP35MIN56SEC
Mszczonów;51STP58MIN27SEC;20STP31MIN36SEC
Muszyna;49STP21MIN30SEC;20STP54MIN00SEC
Mysłowice;50STP14MIN;19STP08MIN
Myszków;50STP34MIN32SEC;19STP19MIN33SEC
Myszyniec;53STP22MIN56SEC;21STP21MIN05SEC
Myślenice;49STP50MIN;19STP56MIN
Myślibórz;52STP55MIN29SEC;14STP51MIN59SEC
Nałęczów;51STP17MIN;22STP13MIN
Namysłów;51STP04MIN22SEC;17STP42MIN25SEC
Narol;50STP21MIN01SEC;23STP19MIN38SEC
Nasielsk;52STP36MIN;20STP48MIN
Nekla;52STP14MIN22SEC;17STP04MIN48SEC
Nidzica;53STP21MIN30SEC;20STP25MIN30SEC
Niemcza;50STP43MIN;16STP50MIN
Niemodlin;50STP38MIN;17STP36MIN
Niepołomice;50STP02MIN02SEC;20STP13MIN02SEC
Nieszawa;52STP50MIN12SEC;18STP54MIN05SEC
Nisko;50STP32MIN;22STP08MIN
Nowe;53STP38MIN58SEC;18STP43MIN32SEC
Nowogrodziec;51STP12MIN04SEC;15STP23MIN08SEC
Nysa;50STP28MIN17SEC;17STP20MIN02SEC
Oborniki;52STP39MIN;16STP49MIN
Obrzycko;52STP42MIN23SEC;16STP31MIN45SEC
Odolanów;51STP34MIN27SEC;17STP40MIN25SEC
Ogrodzieniec;50STP27MIN04SEC;19STP31MIN08SEC
Okonek;53STP32MIN;16STP51MIN
Olecko;54STP02MIN10SEC;22STP29MIN53SEC
Olesno;50STP52MIN30SEC;18STP25MIN00SEC
Oleszyce;50STP10MIN01SEC;23STP01MIN51SEC
Oleśnica;51STP12MIN;17STP23MIN
Olkusz;50STP17MIN;19STP34MIN
Olsztyn;53STP47MIN;20STP30MIN
Olsztynek;53STP35MIN;20STP17MIN
Oława;50STP56MIN;17STP18MIN
Opalenica;52STP18MIN33SEC;16STP24MIN34SEC
Opatów;50STP48MIN18SEC;21STP25MIN29SEC
Opoczno;51STP22MIN38SEC;20STP17MIN13SEC
Opole;50STP40MIN;17STP56MIN
Orneta;54STP06MIN46SEC;20STP07MIN54SEC
Orzesze;50STP09MIN;18STP45MIN
Orzysz;53STP48MIN32SEC;21STP56MIN54SEC
Osieczna;51STP54MIN21SEC;16STP40MIN35SEC
Ostrołęka;53STP04MIN;21STP34MIN
Ostroróg;52STP38MIN;16STP28MIN
Ostróda;53STP42MIN;19STP58MIN
Ostrzeszów;51STP25MIN30SEC;17STP55MIN47SEC
Ostrzeszów;51STP25MIN30SEC;17STP55MIN47SEC
Oświęcim;50STP03MIN;19STP14MIN
Otmuchów;50STP28MIN00SEC;17STP10MIN30SEC
Otwock;52STP07MIN;21STP16MIN
Ozimek;50STP40MIN23SEC;18STP12MIN47SEC
Ozorków;51STP58MIN;19STP17MIN
Ożarów;50STP53MIN27SEC;21STP40MIN04SEC
Pabianice;51STP39MIN;19STP23MIN
Paczków;50STP27MIN;17STP00MIN
Pajęczno;51STP09MIN;19STP00MIN
Pakość;52STP48MIN19SEC;18STP05MIN02SEC
Parczew;51STP38MIN;22STP52MIN
Pasłęk;54STP03MIN;19STP40MIN
Pasym;53STP38MIN52SEC;20STP47MIN27SEC
Pelplin;53STP55MIN34SEC;18STP42MIN04SEC
Pełczyce;53STP02MIN35SEC;15STP18MIN17SEC
Piaseczno;52STP04MIN;21STP01MIN
Piastów;52STP11MIN;20STP51MIN
Piechowice;50STP51MIN20SEC;15STP37MIN08SEC
Pieniężno;54STP13MIN;20STP07MIN
Pieńsk;51STP14MIN47SEC;15STP02MIN46SEC
Pieszyce;50STP43MIN;16STP35MIN
Pilica;51STP51MIN46SEC;21STP16MIN51SEC
Pilzno;49STP44MIN;13STP22MIN
Pińczów;50STP32MIN;20STP32MIN
Pionki;51STP28MIN54SEC;21STP27MIN01SEC
Pisz;53STP37MIN;21STP48MIN
Pleszew;51STP53MIN50SEC;17STP47MIN08SEC
Płock;52STP33MIN;19STP42MIN
Płońsk;52STP38MIN;20STP23MIN
Płoty;53STP48MIN29SEC;15STP15MIN53SEC
Pniewy;52STP31MIN;16STP16MIN
Pobiedziska;52STP29MIN;17STP16MIN
Poddębice;51STP54MIN;18STP58MIN
Pogorzela;51STP49MIN15SEC;17STP14MIN05SEC
Polanów;54STP07MIN10SEC;16STP41MIN18SEC
Police;53STP33MIN00SEC;14STP34MIN15SEC
Polkowice;51STP30MIN;16STP04MIN
Połaniec;50STP26MIN;21STP17MIN
Poniatowa;51STP11MIN;22STP04MIN
Poniec;51STP45MIN30SEC;16STP49MIN00SEC
Poręba;50STP29MIN34SEC;19STP20MIN01SEC
Poznań;52STP24MIN24SEC;16STP55MIN25SEC
Prabuty;53STP45MIN21SEC;19STP11MIN51SEC
Praszka;51STP03MIN;18STP27MIN
Prochowice;51STP16MIN27SEC;16STP21MIN54SEC
Proszowice;50STP12MIN;20STP18MIN
Prudnik;50STP19MIN11SEC;17STP34MIN45SEC
Prusice;51STP22MIN14SEC;16STP57MIN35SEC
Pruszków;52STP10MIN;20STP48MIN
Przasnysz;53STP01MIN;20STP53MIN
Przedbórz;51STP05MIN;19STP53MIN
Przedecz;52STP17MIN;18STP54MIN
Przemków;51STP31MIN;15STP48MIN
Przemyśl;49STP47MIN;22STP46MIN
Przeworsk;50STP04MIN;22STP30MIN
Przysucha;51STP21MIN30SEC;20STP37MIN42SEC
Pszczyna;49STP59MIN;18STP57MIN
Pszów;50STP02MIN22SEC;18STP23MIN42SEC
Puck;54STP42MIN;18STP24MIN
Puławy;51STP25MIN;21STP58MIN
Pułtusk;52STP42MIN;21STP05MIN
Puszczykowo;52STP16MIN54SEC;16STP51MIN15SEC
Pyrzyce;53STP08MIN35SEC;14STP53MIN35SEC
Pyskowice;50STP23MIN53SEC;18STP37MIN39SEC
Pyzdry;52STP10MIN;17STP41MIN
Rabka;49STP37MIN;19STP58MIN
Raciąż;52STP46MIN46SEC;20STP06MIN55SEC
Racibórz;50STP05MIN31SEC;18STP13MIN11SEC
Radków;50STP30MIN14SEC;16STP24MIN12SEC
Radlin;50STP02MIN56SEC;18STP28MIN36SEC
Radom;51STP24MIN13SEC;21STP09MIN24SEC
Radomsko;51STP04MIN;19STP27MIN
Radymno;49STP57MIN00SEC;22STP48MIN59SEC
Radziejów;52STP38MIN;18STP31MIN
Radzionków;50STP23MIN59SEC;18STP54MIN06SEC
Radzymin;52STP25MIN;21STP11MIN
Rajgród;53STP43MIN49SEC;22STP41MIN33SEC
Rakoniewice;52STP08MIN27SEC;16STP16MIN23SEC
Raszków;51STP43MIN;17STP44MIN
Rawicz;51STP36MIN33SEC;16STP51MIN27SEC
Recz;53STP15MIN44SEC;15STP32MIN50SEC
Resko;53STP48MIN;15STP24MIN
Reszel;54STP03MIN08SEC;21STP09MIN41SEC
Rogoźno;52STP44MIN57SEC;16STP59MIN59SEC
Ropczyce;50STP05MIN;21STP38MIN
Różan;52STP52MIN58SEC;21STP23MIN08SEC
Ruciane-Nida;53STP38MIN33SEC;21STP32MIN57SEC
Rumia;54STP34MIN14SEC;18STP23MIN16SEC
Rybnik;50STP05MIN;18STP33MIN
Rychwał;52STP04MIN16SEC;18STP10MIN18SEC
Rydułtowy;50STP03MIN30SEC;18STP25MIN00SEC
Rydzyna;51STP48MIN;16STP40MIN
Ryki;51STP37MIN29SEC;21STP55MIN59SEC
Rymanów;49STP34MIN;21STP53MIN
Ryn;53STP56MIN16SEC;21STP32MIN53SEC
Rypin;53STP04MIN;19STP27MIN
Rzepin;52STP21MIN;14STP50MIN
Rzeszów;50STP02MIN01SEC;22STP00MIN17SEC
Sandomierz;50STP41MIN;21STP45MIN
Sanok;49STP33MIN;22STP13MIN
Sejny;54STP07MIN;23STP22MIN
Serock;52STP30MIN47SEC;21STP04MIN10SEC
Sędziszów;50STP35MIN;20STP04MIN
Sępopol;54STP16MIN05SEC;21STP00MIN01SEC
Sianów;54STP13MIN49SEC;16STP17MIN51SEC
Siechnice;51STP02MIN12SEC;17STP09MIN09SEC
Siedlce;52STP09MIN54SEC;22STP16MIN17SEC
Siemiatycze;52STP25MIN38SEC;22STP51MIN45SEC
Sieniawa;50STP10MIN41SEC;22STP36MIN38SEC
Sieradz;51STP36MIN;18STP45MIN
Sieraków;52STP39MIN;16STP06MIN
Sierpc;52STP53MIN;19STP40MIN
Siewierz;50STP27MIN59SEC;19STP13MIN48SEC
Skalbmierz;50STP20MIN;20STP25MIN
Skarszewy;54STP04MIN02SEC;18STP26MIN45SEC
Skarżysko-Kamienna;51STP07MIN;20STP51MIN
Skawina;49STP59MIN;19STP50MIN
Skępe;52STP51MIN58SEC;19STP20MIN49SEC
Skierniewice;51STP57MIN10SEC;20STP08MIN30SEC
Skoczów;49STP48MIN12SEC;18STP47MIN23SEC
Skórcz;53STP47MIN48SEC;18STP31MIN34SEC
Skwierzyna;52STP36MIN;15STP30MIN
Sławków;50STP17MIN53SEC;19STP23MIN18SEC
Sławno;54STP21MIN44SEC;16STP40MIN49SEC
Słomniki;50STP14MIN27SEC;20STP04MIN54SEC
Słubice;52STP21MIN03SEC;14STP33MIN37SEC
Słupca;52STP18MIN;17STP52MIN
Słupsk;54STP27MIN57SEC;17STP01MIN45SEC
Sobótka;50STP53MIN55SEC;16STP44MIN40SEC
Sochaczew;52STP13MIN45SEC;20STP14MIN19SEC
Sokółka;53STP24MIN;23STP30MIN
Sompolno;52STP24MIN;18STP30MIN
Sopot;54STP26MIN;18STP33MIN
Sosnowiec;50STP18MIN;19STP10MIN
Sośnicowice;50STP16MIN20SEC;18STP31MIN47SEC
Starachowice;51STP03MIN;21STP04MIN
Staszów;50STP33MIN38SEC;21STP10MIN00SEC
Stawiski;53STP22MIN47SEC;22STP09MIN17SEC
Stawiszyn;51STP55MIN06SEC;18STP06MIN41SEC
Stąporków;51STP09MIN;20STP33MIN
Stęszew;52STP16MIN44SEC;16STP42MIN29SEC
Stryków;51STP54MIN04SEC;19STP36MIN39SEC
Strzegom;50STP57MIN40SEC;16STP20MIN40SEC
Strzelin;50STP47MIN;17STP04MIN
Strzelno;52STP37MIN46SEC;18STP10MIN12SEC
Strzyżów;49STP53MIN;21STP47MIN
Suchań;53STP16MIN43SEC;15STP19MIN29SEC
Suchedniów;51STP03MIN06SEC;20STP49MIN57SEC
Suchowola;53STP34MIN36SEC;23STP06MIN06SEC
Sulechów;52STP05MIN;15STP37MIN
Sulejów;51STP21MIN10SEC;19STP53MIN05SEC
